"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","z","MOE","ci5","ci95","resid"
5.29498650148577,2.30979384536558,8.28017915760597,70,0.5,-1,0.106,1.7825353734921,"3.SRI permuted",3,"0.7/2.1",0.3,0.9,-0.6,1.9,10,3,1,-5,0.886875172131701,1.58088636619665,-0.694011194064953,2.46776153832836,-0.386875172131701
5.29498650148577,2.30979384536558,8.28017915760597,70,0.5,-1,0.00449211701044088,1.7825353734921,"3.SRI weigthed",3,"0.7/2.1",0.3,0.9,-0.6,1.9,10,3,1,-5,0.886875172131701,1.58088636619665,-0.694011194064953,2.46776153832836,-0.386875172131701
1.674,1.077,2.252,30,2,0,0,0,"strand",4,"1.9/2.5",-0.4,2.1,-0.4,0.7,50,3,3,5,1.42468085106383,0,1.42468085106383,1.42468085106383,0.57531914893617
10.1674591566693,7.79860316383524,12.5363151495033,30,2,0,5.98271348957793e-08,1.39251832126387,"2.Rates",4,"1.9/2.5",-0.4,2.1,-0.4,0.7,50,3,3,5,2.14606949249481,2.98844108700449,-0.842371594509674,5.1345105794993,-0.146069492494814
10.1674591566693,7.79860316383524,12.5363151495033,30,2,0,0,1.39251832126387,"2.Rates permuted",4,"1.9/2.5",-0.4,2.1,-0.4,0.7,50,3,3,5,2.14606949249481,2.98844108700449,-0.842371594509674,5.1345105794993,-0.146069492494814
10.593916570941,8.45247043745812,12.7353627044238,30,2,0,3.74514371543934e-09,1.25883674815832,"2.Rates weigthed",4,"1.9/2.5",-0.4,2.1,-0.4,0.7,50,3,3,5,2.47354262273948,3.11378635164037,-0.640243728900891,5.58732897437985,-0.473542622739479
5.94819729616054,4.60000707230437,7.29638752001672,30,2,0,3.56115857964114e-08,0.792525840721334,"3.SRI",4,"1.9/2.5",-0.4,2.1,-0.4,0.7,50,3,3,5,2.20599333495653,1.74830672241208,0.457686612544447,3.95430005736861,-0.205993334956528
5.94819729616054,4.60000707230437,7.29638752001672,30,2,0,0,0.792525840721334,"3.SRI permuted",4,"1.9/2.5",-0.4,2.1,-0.4,0.7,50,3,3,5,2.20599333495653,1.74830672241208,0.457686612544447,3.95430005736861,-0.205993334956528
5.94819729616054,4.60000707230437,7.29638752001672,30,2,0,3.56115857964114e-08,0.792525840721334,"3.SRI weigthed",4,"1.9/2.5",-0.4,2.1,-0.4,0.7,50,3,3,5,2.20599333495653,1.74830672241208,0.457686612544447,3.95430005736861,-0.205993334956528
-0.626,-1.016,-0.265,70,-1,-3,0,0,"strand",5,"1.9/1.5",-0.4,2.3,-0.4,2.5,30,3,8,4,-0.833555259653795,0,-0.833555259653795,-0.833555259653795,-0.166444740346205
