"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","prediction_correlation","z","MOE","ci5","ci95","resid"
-0.52740979550023,-1.39725192644869,0.342432335448234,80,-0.23,-0.0782,0.315947360197401,0.522545508273596,"2.Rates",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,0.113542674693236,-0.303164089629201,-0.158417033305593,-0.461581122934793,-0.144747056323608,0.0731640896292007
-0.52740979550023,-1.39725192644869,0.342432335448234,80,-0.23,-0.0782,0.3196,0.522545508273596,"2.Rates permuted",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,0.113542674693236,-0.303164089629201,-0.158417033305593,-0.461581122934793,-0.144747056323608,0.0731640896292007
0.211045913191981,-0.659761931887953,1.08185375827191,80,-0.23,-0.0782,0.687733864227905,0.52312564754683,"2.Rates weigthed",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,-0.113542674693235,0.121178233742605,0.0633914419951812,0.0577867917474236,0.184569675737786,-0.351178233742605
0.211045913191981,-0.659761931887953,1.08185375827191,80,-0.23,-0.0782,0.7316,0.52312564754683,"2.Rates weigthed permuted",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,-0.113542674693235,0.121178233742605,0.0633914419951812,0.0577867917474236,0.184569675737786,-0.351178233742605
0.269782428498554,-0.470054969303126,1.00961982630023,80,-0.23,-0.0782,0.545609197776816,0.444446981031549,"3.SRI",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,-0.108674750960276,0.182325487532919,0.081034012499111,0.101291475033808,0.26335950003203,-0.412325487532919
0.269782428498554,-0.470054969303126,1.00961982630023,80,-0.23,-0.0782,0.3432,0.444446981031549,"3.SRI permuted",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,-0.108674750960276,0.182325487532919,0.081034012499111,0.101291475033808,0.26335950003203,-0.412325487532919
0.269782428498554,-0.470054969303126,1.00961982630023,80,-0.23,-0.0782,0.545609197776816,0.444446981031549,"3.SRI weigthed",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,-0.108674750960276,0.182325487532919,0.081034012499111,0.101291475033808,0.26335950003203,-0.412325487532919
0.269782428498554,-0.470054969303126,1.00961982630023,80,-0.23,-0.0782,0.6186,0.444446981031549,"3.SRI weigthed permuted",2,"1.7/0.8",0.5,1.2,0.8,1,40,7,7,-8,-0.108674750960276,0.182325487532919,0.081034012499111,0.101291475033808,0.26335950003203,-0.412325487532919
-0.121,-1.267,0.873,30,-0.57,-0.1083,0.427,0.0209837204053513,"strand",3,"1.7/0.8",0.5,1.2,0.8,1,40,1,6,9,-0.140668931943109,-0.0565420560747664,-0.00118646269581659,-0.057728518770583,-0.0553555933789498,-0.513457943925234
0.507245396812998,0.0501941347178599,0.964296658908137,30,-0.57,-0.1083,0.0694357967365656,0.268674946113048,"2.Rates",3,"1.7/0.8",0.5,1.2,0.8,1,40,1,6,9,0.336041126306286,0.55491083701177,0.149090639231684,0.405820197780086,0.704001476243454,-1.12491083701177
0.507245396812998,0.0501941347178599,0.964296658908137,30,-0.57,-0.1083,0.067,0.268674946113048,"2.Rates permuted",3,"1.7/0.8",0.5,1.2,0.8,1,40,1,6,9,0.336041126306286,0.55491083701177,0.149090639231684,0.405820197780086,0.704001476243454,-1.12491083701177
0.203916115001911,-0.0982818656347016,0.506114095638522,30,-0.57,-0.1083,0.260495885242997,0.177420319732453,"2.Rates weigthed",3,"1.7/0.8",0.5,1.2,0.8,1,40,1,6,9,0.336041126306267,0.337388281967238,0.0598595368606103,0.277528745106628,0.397247818827849,-0.907388281967238
