"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","prediction_correlation","z","MOE","ci5","ci95","resid"
0.589,0.29,0.829,60,0.3,0.105,0,0.00516307749473942,"strand",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.928193274975296,1.09276437847866,0.0056420271695761,1.08712235130909,1.09840640564824,-0.792764378478664
3.41752802109004,1.22510206313693,5.60995397904314,60,0.3,0.105,0.0116346618304418,1.31161038239277,"2.Rates",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.323710022392302,0.779394170346513,1.02226148580288,-0.24286731545637,1.8016556561494,-0.479394170346513
3.41752802109004,1.22510206313693,5.60995397904314,60,0.3,0.105,0.0084,1.31161038239277,"2.Rates permuted",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.323710022392302,0.779394170346513,1.02226148580288,-0.24286731545637,1.8016556561494,-0.479394170346513
4.60025532116889,2.36622646523094,6.83428417710684,60,0.3,0.105,0.00114443761551668,1.33302831747315,"2.Rates weigthed",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.323710022392302,1.02958726538863,1.37246898007278,-0.342881714684152,2.40205624546141,-0.729587265388629
4.60025532116889,2.36622646523094,6.83428417710684,60,0.3,0.105,0.0272,1.33302831747315,"2.Rates weigthed permuted",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.323710022392302,1.02958726538863,1.37246898007278,-0.342881714684152,2.40205624546141,-0.729587265388629
4.66393313935816,3.01149264042713,6.31637363828919,60,0.3,0.105,1.87403824870607e-05,0.985998892610407,"3.SRI",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.40919507924428,1.41122574228097,1.39146701911234,0.0197587231686345,2.80269276139331,-1.11122574228097
4.66393313935816,3.01149264042713,6.31637363828919,60,0.3,0.105,0.001,0.985998892610407,"3.SRI permuted",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.40919507924428,1.41122574228097,1.39146701911234,0.0197587231686345,2.80269276139331,-1.11122574228097
4.66393313935816,3.01149264042713,6.31637363828919,60,0.3,0.105,1.87403824870607e-05,0.985998892610407,"3.SRI weigthed",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.40919507924428,1.41122574228097,1.39146701911234,0.0197587231686345,2.80269276139331,-1.11122574228097
4.66393313935816,3.01149264042713,6.31637363828919,60,0.3,0.105,0.0052,0.985998892610407,"3.SRI weigthed permuted",1,"1/1",0.5,0.5,0.5,2.9,40,3,9,-2,0.40919507924428,1.41122574228097,1.39146701911234,0.0197587231686345,2.80269276139331,-1.11122574228097
-0.308,-0.605,-0.062,40,-0.48,-0.1296,0.027,0.00533279131685447,"strand",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.988318971534323,-0.567219152854512,-0.00302486137309609,-0.570244014227608,-0.564194291481416,0.0872191528545121
-0.429173595992743,-0.647976268517666,-0.210370923467819,40,-0.48,-0.1296,0.00206802542266683,0.129779705024348,"2.Rates",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.472729448775806,-0.980732070226098,-0.127279118781862,-1.10801118900796,-0.853452951444237,0.500732070226098
-0.429173595992743,-0.647976268517666,-0.210370923467819,40,-0.48,-0.1296,8e-04,0.129779705024348,"2.Rates permuted",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.472729448775806,-0.980732070226098,-0.127279118781862,-1.10801118900796,-0.853452951444237,0.500732070226098
-0.517531168017305,-0.741594566238556,-0.293467769796053,40,-0.48,-0.1296,0.000447599831091368,0.132277517301564,"2.Rates weigthed",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.472729448775806,-1.15487663787521,-0.15276421444771,-1.30764085232292,-1.0021124234275,0.674876637875207
-0.517531168017305,-0.741594566238556,-0.293467769796053,40,-0.48,-0.1296,6e-04,0.132277517301564,"2.Rates weigthed permuted",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.472729448775806,-1.15487663787521,-0.15276421444771,-1.30764085232292,-1.0021124234275,0.674876637875207
-0.690053841323519,-0.97314838319285,-0.406959299454189,40,-0.48,-0.1296,0.000243475916979024,0.167126998239675,"3.SRI",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.474740628254213,-1.21876924360137,-0.203689245229936,-1.42245848883131,-1.01507999837143,0.738769243601369
-0.690053841323519,-0.97314838319285,-0.406959299454189,40,-0.48,-0.1296,0.001,0.167126998239675,"3.SRI permuted",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.474740628254213,-1.21876924360137,-0.203689245229936,-1.42245848883131,-1.01507999837143,0.738769243601369
-0.690053841323519,-0.97314838319285,-0.406959299454189,40,-0.48,-0.1296,0.000243475916979024,0.167126998239675,"3.SRI weigthed",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.474740628254213,-1.21876924360137,-0.203689245229936,-1.42245848883131,-1.01507999837143,0.738769243601369
-0.690053841323519,-0.97314838319285,-0.406959299454189,40,-0.48,-0.1296,0.0016,0.167126998239675,"3.SRI weigthed permuted",2,"1/1",0.5,0.5,0.5,2.9,40,7,5,-9,0.474740628254213,-1.21876924360137,-0.203689245229936,-1.42245848883131,-1.01507999837143,0.738769243601369
