"scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","prediction_correlation","z","MOE","ci5","ci95","resid"
0.245,0.087,0.373,30,-0.51,-0.0867,0.008,0.00282080417835915,"strand",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.873309236086797,0.856643356643357,0.00241642315978319,0.854226933483573,0.85905977980314,-1.36664335664336
2.85481881823551,1.22659414239168,4.48304349407935,30,-0.51,-0.0867,0.00586353080772914,0.957142476834943,"2.Rates",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.49103360511116,0.876666120035305,0.839094381487871,0.0375717385474333,1.71576050152318,-1.3866661200353
2.85481881823551,1.22659414239168,4.48304349407935,30,-0.51,-0.0867,0.0068,0.957142476834943,"2.Rates permuted",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.49103360511116,0.876666120035305,0.839094381487871,0.0375717385474333,1.71576050152318,-1.3866661200353
2.81153613051038,1.55523001930961,4.06784224171115,30,-0.51,-0.0867,0.000927372063497217,0.730095186879939,"2.Rates weigthed",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.491033605111161,1.11896937595215,0.816954155648711,0.302015220303435,1.93592353160086,-1.62896937595215
2.81153613051038,1.55523001930961,4.06784224171115,30,-0.51,-0.0867,0.012,0.730095186879939,"2.Rates weigthed permuted",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.491033605111161,1.11896937595215,0.816954155648711,0.302015220303435,1.93592353160086,-1.62896937595215
2.04269763478679,0.884531350367719,3.20086391920587,30,-0.51,-0.0867,0.00629764221210597,0.673061781935295,"3.SRI",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.30385507413764,0.88186716461505,0.593551085246032,0.288316079369018,1.47541824986108,-1.39186716461505
2.04269763478679,0.884531350367719,3.20086391920587,30,-0.51,-0.0867,0.0982,0.673061781935295,"3.SRI permuted",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.30385507413764,0.88186716461505,0.593551085246032,0.288316079369018,1.47541824986108,-1.39186716461505
2.04269763478679,0.884531350367719,3.20086391920587,30,-0.51,-0.0867,0.00629764221210597,0.673061781935295,"3.SRI weigthed",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.30385507413764,0.88186716461505,0.593551085246032,0.288316079369018,1.47541824986108,-1.39186716461505
2.04269763478679,0.884531350367719,3.20086391920587,30,-0.51,-0.0867,0.0306,0.673061781935295,"3.SRI weigthed permuted",1,"1/1",0.5,0.5,0.5,2.9,40,7,8,1,0.30385507413764,0.88186716461505,0.593551085246032,0.288316079369018,1.47541824986108,-1.39186716461505
0.605,0.561,0.664,30,0.84,0.0588,0,0.00102161400483086,"strand",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.962559884708463,5.87378640776699,0.00600074245555991,5.86778566531143,5.87978715022255,-5.03378640776699
6.86571007879386,6.10009127930927,7.63132887827844,30,0.84,0.0588,4.27914348519945e-15,0.450064591774039,"2.Rates",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.94477634317871,4.48376534341624,2.01798401889521,2.46578132452103,6.50174936231145,-3.64376534341624
6.86571007879386,6.10009127930927,7.63132887827844,30,0.84,0.0588,0,0.450064591774039,"2.Rates permuted",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.94477634317871,4.48376534341624,2.01798401889521,2.46578132452103,6.50174936231145,-3.64376534341624
6.85043687897352,6.26790275799481,7.43297099995223,30,0.84,0.0588,4.08797457040704e-16,0.33989369188277,"2.Rates weigthed",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.94477634317871,5.87985890634544,1.99852695142754,3.8813319549179,7.87838585777297,-5.03985890634544
6.85043687897352,6.26790275799481,7.43297099995223,30,0.84,0.0588,0,0.33989369188277,"2.Rates weigthed permuted",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.94477634317871,5.87985890634544,1.99852695142754,3.8813319549179,7.87838585777297,-5.03985890634544
2.88588155637318,1.908196013805,3.86356709894137,30,0.84,0.0588,4.03087776717458e-05,0.570454393307644,"3.SRI",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.549985296952159,1.47587410814757,0.841918868961779,0.633955239185786,2.31779297710935,-0.635874108147566
2.88588155637318,1.908196013805,3.86356709894137,30,0.84,0.0588,0.0014,0.570454393307644,"3.SRI permuted",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.549985296952159,1.47587410814757,0.841918868961779,0.633955239185786,2.31779297710935,-0.635874108147566
2.88588155637318,1.908196013805,3.86356709894137,30,0.84,0.0588,4.03087776717458e-05,0.570454393307644,"3.SRI weigthed",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.549985296952159,1.47587410814757,0.841918868961779,0.633955239185786,2.31779297710935,-0.635874108147566
2.88588155637318,1.908196013805,3.86356709894137,30,0.84,0.0588,0,0.570454393307644,"3.SRI weigthed permuted",2,"1/1",0.5,0.5,0.5,2.9,40,3,4,8,0.549985296952159,1.47587410814757,0.841918868961779,0.633955239185786,2.31779297710935,-0.635874108147566
0.584,0.55,0.625,50,-0.7,-0.063,0,0.000735918356236808,"strand",3,"1/1",0.5,0.5,0.5,2.9,40,1,9,5,0.919592625883181,7.78666666666667,0.00573035093389728,7.78093631573277,7.79239701760057,-8.48666666666667
