"","scale(hair)","5 %","95 %","N_id","tie_effect","detect_effect","p-value","se","approach","sim","sr_sigma","sr_rho","dr_sigma","dr_rho","exposure_sigma","exposure_baseline","NG","mean.between.GR","mean.within.GR","z","MOE","ci5","ci95","resid"
"67",26.1105105389014,22.6068923669087,29.6141287108941,90,1,4,5.43042240687926e-21,2.10762455561201,"2.Rates",14,"0.7/2.3",-0.3,1.5,0.3,2.9,90,7,2,1,3.72622090323997,7.85347467530334,-4.12725377206337,11.5796955785433,-2.72622090323997
"68",30.2291693131593,26.0263053550585,34.4320332712601,90,1,4,2.91367330431236e-19,2.52441767825066,"Rates weighted",14,"0.7/2.3",-0.3,1.5,0.3,2.9,90,7,2,1,3.59625836269268,9.0784581863382,-5.48219982364551,12.6747165490309,-2.59625836269268
"69",14.6083638869231,12.1539949180825,17.0627328557636,90,1,4,2.15300970864906e-15,1.4741977079579,"3.SRI",14,"0.7/2.3",-0.3,1.5,0.3,2.9,90,7,2,1,2.97599180734098,4.38720030128355,-1.41120849394257,7.36319210862453,-1.97599180734098
"70",14.6083638869231,12.1539949180825,17.0627328557636,90,1,4,2.15300970864906e-15,1.4741977079579,"SRI weighted",14,"0.7/2.3",-0.3,1.5,0.3,2.9,90,7,2,1,2.97599180734098,4.38720030128355,-1.41120849394257,7.36319210862453,-1.97599180734098
"71",-7.525,-7.949,-7.026,50,-4,0,0,0,"1.Bayesian",15,"0.9/2.7",-0.7,2.7,0.6,0.9,50,1,9,-2,-8.15276273022752,0,-8.15276273022752,-8.15276273022752,4.15276273022752
"72",-25.5138087651263,-27.2736401527387,-23.7539773775138,50,-4,0,1.22620244061117e-28,1.04925232516857,"2.Rates",15,"0.9/2.7",-0.7,2.7,0.6,0.9,50,1,9,-2,-7.24893559255713,-7.60596252548781,-14.8548981180449,0.357026932930673,3.24893559255713
"73",-23.051348855976,-24.8851988928123,-21.2174988191397,50,-4,0,6.50074477311981e-26,1.09338396206893,"Rates weighted",15,"0.9/2.7",-0.7,2.7,0.6,0.9,50,1,9,-2,-6.28496016384831,-6.87187464539389,-13.1568348092422,0.586914481545575,2.28496016384831
"74",-10.4248809775963,-11.4959073882189,-9.35385456697373,50,-4,0,3.16092181457918e-21,0.638570808301863,"3.SRI",15,"0.9/2.7",-0.7,2.7,0.6,0.9,50,1,9,-2,-4.86677119919787,-3.10777801849201,-7.97454921768987,-1.75899318070586,0.866771199197865
"75",-10.4248809775963,-11.4959073882189,-9.35385456697373,50,-4,0,3.16092181457918e-21,0.638570808301863,"SRI weighted",15,"0.9/2.7",-0.7,2.7,0.6,0.9,50,1,9,-2,-4.86677119919787,-3.10777801849201,-7.97454921768987,-1.75899318070586,0.866771199197865
"76",5.912,4.931,6.721,50,4,2,0,0,"1.Bayesian",16,"2.9/1.5",-0.2,1.3,-0.2,0.9,30,1,8,-9,3.30279329608939,0,3.30279329608939,3.30279329608939,0.697206703910615
"77",24.8532897763884,23.0344570921651,26.6721224606116,50,4,2,1.68586492504835e-27,1.0844302678355,"2.Rates",16,"2.9/1.5",-0.2,1.3,-0.2,0.9,30,1,8,-9,6.83220891948113,7.40905414846098,-0.576845228979856,14.2412630679421,-2.83220891948113
"78",24.1253164698037,22.3712360059369,25.8793969336705,50,4,2,2.76774132271393e-27,1.04538561859868,"Rates weighted",16,"2.9/1.5",-0.2,1.3,-0.2,0.9,30,1,8,-9,6.87691270918665,7.18902564654222,-0.312112937355574,14.0659383557289,-2.87691270918665
"79",14.4503778448097,13.4941908679189,15.4065648217005,50,4,2,4.56489136805232e-29,0.569862178459816,"3.SRI",16,"2.9/1.5",-0.2,1.3,-0.2,0.9,30,1,8,-9,7.55625112768111,4.30602172860979,3.25022939907131,11.8622728562909,-3.55625112768111
"80",14.4503778448097,13.4941908679189,15.4065648217005,50,4,2,4.56489136805232e-29,0.569862178459816,"SRI weighted",16,"2.9/1.5",-0.2,1.3,-0.2,0.9,30,1,8,-9,7.55625112768111,4.30602172860979,3.25022939907131,11.8622728562909,-3.55625112768111
"81",6.811,6.145,7.515,50,4,3,0,0,"1.Bayesian",17,"2.9/2.7",-0.9,1.9,-0.9,0.9,10,1,6,-9,4.97153284671533,0,4.97153284671533,4.97153284671533,-0.971532846715328
"82",17.6980086123375,15.5542509212237,19.8417663034514,50,4,3,2.19825536059486e-18,1.2781580995955,"2.Rates",17,"2.9/2.7",-0.9,1.9,-0.9,0.9,10,1,6,-9,4.1278006105116,5.27598178384063,-1.14818117332904,9.40378239435223,-0.127800610511599
